Year,Number_1_Release,Weekend_Number
2019,Glass,3
2019,Stan & Ollie,2
2019,Mary Poppins Returns,1
2020,Wonder Woman 1984,51
2020,Elf,50
2020,Elf,49
2020,Home Alone,48
2020,Two by Two: Overboard!,47
2020,The Secret Garden,46
2020,The Three Kings,45
2020,Two by Two: Overboard!,44
2020,Honest Thief,43
2020,Tenet,42
2020,Tenet,41
2020,Tenet,40
2020,Tenet,39
2020,Tenet,38
2020,Tenet,37
2020,Tenet,36
2020,Tenet,35
2020,Unhinged,34
2020,Inception,33
2020,Unhinged,32
2020,Unhinged,31
2020,Onward,30
2020,Onward,29
2020,Star Wars: Episode V - The Empire Strikes Back,28
2020,Onward,27
2020,Little Women,12
2020,Onward,11
2020,Onward,10
2020,The Invisible Man,9
2020,Sonic the Hedgehog,8
2020,Sonic the Hedgehog,7
2020,Dolittle,6
2020,1917,5
2020,1917,4
2020,1917,3
2020,1917,2
2020,Star Wars: Episode IX - The Rise of Skywalker,1
2021,Spider-Man: No Way Home,53
2021,Spider-Man: No Way Home,52
2021,Spider-Man: No Way Home,51
2021,West Side Story,50
2021,House of Gucci,49
2021,House of Gucci,48
2021,Ghostbusters: Afterlife,47
2021,Eternals,46
2021,Eternals,45
2021,No Time to Die,44
2021,Dune,43
2021,No Time to Die,42
2021,No Time to Die,41
2021,No Time to Die,40
2021,Shang-Chi and the Legend of the Ten Rings,39
2021,Shang-Chi and the Legend of the Ten Rings,38
2021,Shang-Chi and the Legend of the Ten Rings,37
2021,Shang-Chi and the Legend of the Ten Rings,36
2021,Free Guy,35
2021,Free Guy,34
2021,Free Guy,33
2021,The Suicide Squad,32
2021,The Suicide Squad,31
2021,Black Widow,30
2021,Black Widow,29
2021,Black Widow,28
2021,F9: The Fast Saga,27
2021,F9: The Fast Saga,26
2021,Hitman's Wife's Bodyguard,25
2021,A Quiet Place Part II,24
2021,A Quiet Place Part II,23
2021,The Conjuring: The Devil Made Me Do It,22
2021,Peter Rabbit 2: The Runaway,21
2022,Avatar: The Way of Water,52
2022,Avatar: The Way of Water,51
2022,Avatar: The Way of Water,50
2022,Roald Dahl's Matilda the Musical,49
2022,Roald Dahl's Matilda the Musical,48
2022,Roald Dahl's Matilda the Musical,47
2022,Black Panther: Wakanda Forever,46
2022,Black Panther: Wakanda Forever,45
2022,Black Adam,44
2022,Black Adam,43
2022,Black Adam,42
2022,"Lyle, Lyle, Crocodile",41
2022,The Woman King,40
2022,Smile,39
2022,Ticket to Paradise,38
2022,See How They Run,37
2022,See How They Run,36
2022,Minions: The Rise of Gru,35
2022,Beast,34
2022,Nope,33
2022,Nope,32
2022,Bullet Train,31
2022,DC League of Super-Pets,30
2022,Minions: The Rise of Gru,29
2022,Thor: Love and Thunder,28
2022,Thor: Love and Thunder,27
2022,Minions: The Rise of Gru,26
2022,Elvis,25
2022,Jurassic World Dominion,24
2022,Jurassic World Dominion,23
2022,Top Gun: Maverick,22
2022,Top Gun: Maverick,21
2022,Doctor Strange in the Multiverse of Madness,20
2022,Doctor Strange in the Multiverse of Madness,19
2022,Doctor Strange in the Multiverse of Madness,18
2022,Downton Abbey: A New Era,17
2022,Fantastic Beasts: The Secrets of Dumbledore,16
2022,The Lost City,15
2022,Fantastic Beasts: The Secrets of Dumbledore,14
2022,Sonic the Hedgehog 2,13
2022,Ambulance,12
2022,The Batman,11
2022,The Batman,10
2022,The Batman,9
2022,Uncharted,8
2022,Uncharted,7
2022,Uncharted,6
2022,Sing 2,5
2022,Sing 2,4
2022,Spider-Man: No Way Home,3
2022,Spider-Man: No Way Home,2
2022,Spider-Man: No Way Home,1
2023,Five Nights at Freddy's,43
2023,Trolls Band Together,42
2023,Taylor Swift: The Eras Tour,41
2023,The Exorcist: Believer,40
2023,The Creator,39
2023,A Haunting in Venice,38
2023,A Haunting in Venice,37
2023,The Nun II,36
2023,The Equalizer 3,35
2023,Barbie,34
2023,Barbie,33
2023,Barbie,32
2023,Barbie,31
2023,Barbie,30
2023,Barbie,29
2023,Mission: Impossible - Dead Reckoning Part One,28
2023,Elemental,27
2023,Indiana Jones and the Dial of Destiny,26
2023,Spider-Man: Across the Spider-Verse,25
2023,The Flash,24
2023,Spider-Man: Across the Spider-Verse,23
2023,Spider-Man: Across the Spider-Verse,22
2023,The Little Mermaid,21
2023,Fast X,20
2023,Guardians of the Galaxy Vol. 3,19
2023,Guardians of the Galaxy Vol. 3,18
2023,The Super Mario Bros. Movie,17
2023,The Super Mario Bros. Movie,16
2023,The Super Mario Bros. Movie,15
2023,The Super Mario Bros. Movie,14
2023,Dungeons & Dragons: Honor Among Thieves,13
2023,John Wick: Chapter 4,12
2023,Shazam! Fury of the Gods,11
2023,Creed III,10
2023,Creed III,9
2023,Ant-Man and the Wasp: Quantumania,8
2023,Ant-Man and the Wasp: Quantumania,7
2023,Puss in Boots: The Last Wish,6
2023,Puss in Boots: The Last Wish,5
2023,Avatar: The Way of Water,4
2023,Avatar: The Way of Water,3
2023,Avatar: The Way of Water,2
2023,Avatar: The Way of Water,1
